x0,y0,name,elevation,inv_ele,max_depth,open,InitDepth,SurDepth,Aponded,routing
12710381.2494,2550230.6211,SMH4028405,16.97,13.37,3.6,1,0,0,1,1
12710323.9905,2550203.2199,SMH4028407,17.29,13.69,3.6,1,0,0,1,1
12710248.7872,2550162.7675,SMH4028409,15.75,11.84,3.91,1,0,0,1,1
12710195.1503,2550136.8274,SMH4028410,15.8,10.63,5.17,1,0,0,1,1
12710234.9807,2550144.602,SMH4028412,16.68,13.08,3.6,1,0,0,1,1
12710081.675,2550171.5386,SMH4028374,30.71,27.07,3.64,1,0,0,1,1
12710132.9698,2550206.4426,SMH4028376,29.38,25.78,3.6,1,0,0,1,1
12709876.9886,2549856.3033,SMH4028485,10.67,6.92,3.75,1,0,0,1,1
12709879.1169,2549858.566,SMH4028486,11.63,8.03,3.6,1,0,0,1,1
12709881.7386,2549852.4097,SMH4028487,11.45,7.85,3.6,1,0,0,1,1
12710200.4641,2550126.2022,SMH4028413,15.92,12.29,3.63,1,0,0,1,1
12710105.031,2550082.7435,SMH4028414,15.13,11.53,3.6,1,0,0,1,1
12710102.0384,2549782.4568,SMH4028537,14.2,10.17,4.03,1,0,0,1,1
12710102.583,2549747.9309,SMH4028538,13.94,10.34,3.6,1,0,0,1,1
12710101.0897,2549738.4179,SMH4028539,14.6,10.17,4.43,1,0,0,1,1
12710072.9301,2549758.981,SMH4028540,13.78,9.87,3.91,1,0,0,1,1
12710124.6356,2549746.9306,SMH4028542,14.53,10.93,3.6,1,0,0,1,1
12710119.4492,2549737.7686,SMH4028543,14.253,10.653,3.6,1,0,0,1,1
12709872.1121,2549869.0221,SMH4028484,11.39,7.58,3.81,1,0,0,1,1
12710276.4282,2549797.0538,SMH4028558,26.36,22.76,3.6,1,0,0,1,1
12710279.3387,2549792.1084,SMH4028559,24.71,21.11,3.6,1,0,0,1,1
12710288.6893,2549782.967,SMH4028561,21.63,18.03,3.6,1,0,0,1,1
12710304.7986,2549773.0133,SMH4028562,19.94,16.34,3.6,1,0,0,1,1
12710314.219,2549767.2036,SMH4028563,19.48,15.88,3.6,1,0,0,1,1
